bankssts L,dmn,left
bankssts R,somatomotor,right
caudalanteriorcingulate L,ventral_attention,left
caudalanteriorcingulate R,ventral_attention,right
caudalmiddlefrontal L,dmn,left
caudalmiddlefrontal R,frontoparietal,right
cuneus L,visual,left
cuneus R,visual,right
entorhinal L,limbic,left
entorhinal R,limbic,right
frontalpole L,limbic,left
frontalpole R,limbic,right
fusiform L,visual,left
fusiform R,visual,right
inferiorparietal L,dmn,left
inferiorparietal R,dmn,right
inferiortemporal L,limbic,left
inferiortemporal R,limbic,right
insula L,ventral_attention,left
insula R,ventral_attention,right
isthmuscingulate L,dmn,left
isthmuscingulate R,dmn,right
lateraloccipital L,visual,left
lateraloccipital R,visual,right
lateralorbitofrontal L,limbic,left
lateralorbitofrontal R,limbic,left
lingual L,visual,right
lingual R,visual,left
medialorbitofrontal L,limbic,right
medialorbitofrontal R,limbic,left
middletemporal L,dmn,right
middletemporal R,dmn,left
paracentral L,somatomotor,right
paracentral R,somatomotor,left
parahippocampal L,dmn,right
parahippocampal R,visual,left
parsopercularis L,ventral_attention,right
parsopercularis R,ventral_attention,left
parsorbitalis L,dmn,right
parsorbitalis R,dmn,left
parstriangularis L,dmn,right
parstriangularis R,ventral_attention,left
pericalcarine L,visual,left
pericalcarine R,visual,right
postcentral L,somatomotor,left
postcentral R,somatomotor,right
posteriorcingulate L,ventral_attention,left
posteriorcingulate R,ventral_attention,right
precentral L,somatomotor,left
precentral R,somatomotor,right
precuneus L,dmn,left
precuneus R,dmn,right
rostralanteriorcingulate L,dmn,left
rostralanteriorcingulate R,dmn,right
rostralmiddlefrontal L,frontoparietal,left
rostralmiddlefrontal R,frontoparietal,right
superiorfrontal L,dmn,left
superiorfrontal R,dmn,right
superiorparietal L,dorsal_attention,left
superiorparietal R,dorsal_attention,right
superiortemporal L,somatomotor,left
superiortemporal R,somatomotor,right
supramarginal L,ventral_attention,left
supramarginal R,ventral_attention,right
temporalpole L,limbic,left
temporalpole R,limbic,right
transversetemporal L,somatomotor,left
transversetemporal R,somatomotor,right
