bankssts L,dmn,left
caudalmiddlefrontal L,dmn,left
inferiorparietal L,dmn,left
inferiorparietal R,dmn,right
isthmuscingulate L,dmn,left
isthmuscingulate R,dmn,right
middletemporal L,dmn,right
middletemporal R,dmn,left
parahippocampal L,dmn,right
parsorbitalis L,dmn,right
parsorbitalis R,dmn,left
parstriangularis L,dmn,right
precuneus L,dmn,left
precuneus R,dmn,right
rostralanteriorcingulate L,dmn,left
rostralanteriorcingulate R,dmn,right
superiorfrontal L,dmn,left
superiorfrontal R,dmn,right
superiorparietal L,dorsal_attention,left
superiorparietal R,dorsal_attention,right
caudalmiddlefrontal R,frontoparietal,right
rostralmiddlefrontal L,frontoparietal,left
rostralmiddlefrontal R,frontoparietal,right
entorhinal L,limbic,left
entorhinal R,limbic,right
frontalpole L,limbic,left
frontalpole R,limbic,right
inferiortemporal L,limbic,left
inferiortemporal R,limbic,right
lateralorbitofrontal L,limbic,left
lateralorbitofrontal R,limbic,left
medialorbitofrontal L,limbic,right
medialorbitofrontal R,limbic,left
temporalpole L,limbic,left
temporalpole R,limbic,right
bankssts R,somatomotor,right
paracentral L,somatomotor,right
paracentral R,somatomotor,left
postcentral L,somatomotor,left
postcentral R,somatomotor,right
precentral L,somatomotor,left
precentral R,somatomotor,right
superiortemporal L,somatomotor,left
superiortemporal R,somatomotor,right
transversetemporal L,somatomotor,left
transversetemporal R,somatomotor,right
caudalanteriorcingulate L,ventral_attention,left
caudalanteriorcingulate R,ventral_attention,right
insula L,ventral_attention,left
insula R,ventral_attention,right
parsopercularis L,ventral_attention,right
parsopercularis R,ventral_attention,left
parstriangularis R,ventral_attention,left
posteriorcingulate L,ventral_attention,left
posteriorcingulate R,ventral_attention,right
supramarginal L,ventral_attention,left
supramarginal R,ventral_attention,right
cuneus L,visual,left
cuneus R,visual,right
fusiform L,visual,left
fusiform R,visual,right
lateraloccipital L,visual,left
lateraloccipital R,visual,right
lingual L,visual,right
lingual R,visual,left
parahippocampal R,visual,left
pericalcarine L,visual,left
pericalcarine R,visual,right
